Pays,Code,Year,Total alcohol consumption per capita (liters of pure alcohol. projected estimates. 15+ years of age),Nombre d'Homicide par 100000 habitants,"GDP per capita, PPP (constant 2021 international $)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
Albania,ALB,2010,5.9,4.08,12041.749,14.086
Albania,ALB,2005,5.3,5.08,9006.646,15.966
Albania,ALB,2019,5.11,2.26,15290.777,11.466
Albania,ALB,2000,4.43,4.12,6600.9785,19.023
Armenia,ARM,2010,5.06,1.9,10438.564,11.279
Armenia,ARM,2019,4.98,2.59,16215.36,12.2
Armenia,ARM,2005,4.84,1.9,8362.9,10.577
Armenia,ARM,2000,3.71,2.87,4589.0083,11.097
Austria,AUT,2000,12.89,1.02,54116.547,4.694
Austria,AUT,2005,12.61,0.66,57508.98,5.682
Austria,AUT,2010,12.23,0.73,60380.14,4.883
Austria,AUT,2019,11.97,0.87,65312.023,4.56
Azerbaijan,AZE,2019,1.97,1.64,20122.713,5
Azerbaijan,AZE,2010,1.81,2.23,19621.385,5.63
Azerbaijan,AZE,2000,1.57,2.76,5571.3096,11.78
Belarus,BLR,2010,14.99,4.12,24012.613,6.054
Belarus,BLR,2000,12.63,9.88,11182.455,12.171
Belarus,BLR,2019,10.9,2.33,26798.82,4.165
Belgium,BEL,2000,11.42,2.07,51482.816,6.586
Bosnia and Herzegovina,BIH,2019,6.38,1.25,17269.283,15.692
Bosnia and Herzegovina,BIH,2010,5.74,1.47,12310.37,27.312
Bosnia and Herzegovina,BIH,2000,4.92,2.37,7938.5225,25.473
Bulgaria,BGR,2019,11.92,1.18,27917.12,4.23
Bulgaria,BGR,2000,11.37,4.1,12658.809,16.218
Bulgaria,BGR,2005,10.68,2.55,17811.666,10.083
Bulgaria,BGR,2010,10.66,1.95,21888.504,10.279
Croatia,HRV,2000,10.94,2.22,21293.104,16.064
Croatia,HRV,2010,9.48,1.42,28691.814,11.62
Croatia,HRV,2005,9.46,1.54,27629.336,12.598
Croatia,HRV,2019,8.54,0.8,35107.934,6.617
Cyprus,CYP,2005,9.88,1.93,42337.188,5.481
Cyprus,CYP,2010,9.12,0.71,43094.992,6.36
Cyprus,CYP,2000,8.86,0.84,36973.2,4.766
Cyprus,CYP,2019,8.05,1.22,47283.457,7.155
Czechia,CZE,2000,14.22,1.87,30781.717,8.764
Czechia,CZE,2005,13.99,1.05,37171.176,7.927
Czechia,CZE,2010,13.33,0.98,40896.73,7.281
Czechia,CZE,2019,13.29,0.86,49961.797,2.015
Denmark,DNK,2000,11.69,1.09,57948.61,4.476
Denmark,DNK,2010,10.39,0.76,60233.363,7.747
Denmark,DNK,2019,9.4,0.86,67179.125,5.018
Estonia,EST,2010,14.23,5.26,30936.557,16.707
Estonia,EST,2019,11.26,1.96,43435.2,4.514
